event_id,decision,routed_to,chosen_probability,latency_ms,input_tokens,output_tokens
event-001,NORMAL,events.normal,1.0,411.78,415,53
event-002,NORMAL,events.normal,0.97,386.41,412,53
event-003,NORMAL,events.normal,0.92,370.29,411,53
event-004,NORMAL,events.normal,0.98,358.89,412,53
event-005,NORMAL,events.normal,1.0,349.37,411,53
event-006,NORMAL,events.normal,1.0,374.69,413,53
event-007,NORMAL,events.normal,0.97,389.57,413,53
event-008,NORMAL,events.normal,1.0,351.22,415,53
event-009,RETRY,events.retry,0.99,413.77,413,54
event-010,RETRY,events.retry,1.0,440.88,416,54
event-011,RETRY,events.retry,1.0,379.36,416,54
event-012,RETRY,events.retry,1.0,351.38,414,54
event-013,RETRY,events.retry,0.96,363.58,412,54
event-014,RETRY,events.retry,1.0,385.9,413,54
event-015,RETRY,events.retry,1.0,400.55,412,54
event-016,RETRY,events.retry,1.0,345.11,412,54
event-017,HUMAN_REVIEW,events.human_review,0.99,363.84,412,57
event-018,HUMAN_REVIEW,events.human_review,0.81,386.12,415,57
event-019,HUMAN_REVIEW,events.human_review,0.98,377.85,415,57
event-020,HUMAN_REVIEW,events.human_review,0.99,380.45,415,57
event-021,HUMAN_REVIEW,events.human_review,1.0,361.88,415,57
event-022,HUMAN_REVIEW,events.human_review,0.98,364.42,412,57
event-023,HUMAN_REVIEW,events.human_review,1.0,370.53,415,57
event-024,HUMAN_REVIEW,events.human_review,1.0,343.08,414,57
event-025,QUARANTINE,events.quarantine,0.86,450.62,413,56
event-026,QUARANTINE,events.quarantine,0.94,350.6,412,56
event-027,QUARANTINE,events.quarantine,0.92,387.83,414,56
event-028,QUARANTINE,events.quarantine,0.98,362.66,412,56
event-029,QUARANTINE,events.quarantine,1.0,399.18,414,56
event-030,QUARANTINE,events.quarantine,0.96,381.0,414,56
event-031,QUARANTINE,events.quarantine,0.96,437.49,412,56
event-032,QUARANTINE,events.quarantine,1.0,355.15,414,56
