event_id,decision,routed_to,chosen_probability,latency_ms,input_tokens,output_tokens
scale-16-07,QUARANTINE,events.quarantine,0.98,476.34,447,56
scale-17-00,NORMAL,events.normal,1.0,345.58,452,53
scale-17-01,NORMAL,events.normal,0.98,428.03,450,53
scale-17-02,RETRY,events.retry,0.75,403.88,448,54
scale-17-03,RETRY,events.retry,1.0,394.94,451,54
scale-17-04,HUMAN_REVIEW,events.human_review,1.0,422.61,449,57
scale-17-05,HUMAN_REVIEW,events.human_review,1.0,394.8,453,57
scale-17-06,QUARANTINE,events.quarantine,0.99,388.66,448,56
scale-17-07,QUARANTINE,events.quarantine,0.97,385.6,448,56
scale-18-00,NORMAL,events.normal,1.0,380.38,451,53
scale-18-01,NORMAL,events.normal,0.97,365.76,449,53
scale-18-02,RETRY,events.retry,0.74,371.47,447,54
scale-18-03,RETRY,events.retry,1.0,368.85,450,54
scale-18-04,HUMAN_REVIEW,events.human_review,1.0,362.47,448,57
scale-18-05,HUMAN_REVIEW,events.human_review,1.0,377.03,452,57
scale-18-06,QUARANTINE,events.quarantine,0.99,388.61,447,56
scale-18-07,QUARANTINE,events.quarantine,0.97,412.53,447,56
scale-19-00,NORMAL,events.normal,1.0,377.29,450,53
scale-19-01,NORMAL,events.normal,0.97,388.5,448,53
scale-19-02,RETRY,events.retry,0.76,398.78,446,54
scale-19-03,RETRY,events.retry,1.0,394.5,449,54
scale-19-04,HUMAN_REVIEW,events.human_review,1.0,446.01,447,57
scale-19-05,HUMAN_REVIEW,events.human_review,1.0,360.25,451,57
scale-19-06,QUARANTINE,events.quarantine,0.99,416.85,446,56
scale-19-07,QUARANTINE,events.quarantine,0.98,427.52,446,56
scale-20-00,NORMAL,events.normal,1.0,399.89,451,53
scale-20-01,NORMAL,events.normal,0.98,458.12,449,53
scale-20-02,RETRY,events.retry,0.74,463.54,447,54
scale-20-03,RETRY,events.retry,1.0,363.5,450,54
scale-20-04,HUMAN_REVIEW,events.human_review,1.0,418.69,448,57
scale-20-05,HUMAN_REVIEW,events.human_review,1.0,405.14,452,57
scale-20-06,QUARANTINE,events.quarantine,0.99,395.59,447,56
scale-20-07,QUARANTINE,events.quarantine,0.98,372.27,447,56
scale-21-00,NORMAL,events.normal,1.0,393.72,451,53
scale-21-01,NORMAL,events.normal,0.98,354.76,449,53
scale-21-02,RETRY,events.retry,0.75,384.93,447,54
scale-21-03,RETRY,events.retry,1.0,377.98,450,54
scale-21-04,HUMAN_REVIEW,events.human_review,1.0,498.45,448,57
scale-21-05,HUMAN_REVIEW,events.human_review,1.0,420.92,452,57
scale-21-06,QUARANTINE,events.quarantine,0.99,364.8,447,56
scale-21-07,QUARANTINE,events.quarantine,0.97,429.17,447,56
scale-22-00,NORMAL,events.normal,1.0,457.11,450,53
scale-22-01,NORMAL,events.normal,0.98,462.36,448,53
scale-22-02,RETRY,events.retry,0.74,361.74,446,54
scale-22-03,RETRY,events.retry,1.0,382.64,449,54
scale-22-04,HUMAN_REVIEW,events.human_review,1.0,325.26,447,57
scale-22-05,HUMAN_REVIEW,events.human_review,0.99,459.87,451,57
scale-22-06,QUARANTINE,events.quarantine,0.99,375.09,446,56
scale-22-07,QUARANTINE,events.quarantine,0.98,354.84,446,56
scale-23-00,NORMAL,events.normal,1.0,394.95,451,53
scale-23-01,NORMAL,events.normal,0.98,448.96,449,53
scale-23-02,RETRY,events.retry,0.7,526.21,447,54
scale-23-03,RETRY,events.retry,1.0,469.65,450,54
scale-23-04,HUMAN_REVIEW,events.human_review,1.0,343.01,448,57
scale-23-05,HUMAN_REVIEW,events.human_review,1.0,380.81,452,57
scale-23-06,QUARANTINE,events.quarantine,0.99,415.67,447,56
scale-23-07,QUARANTINE,events.quarantine,0.97,402.56,447,56
scale-24-00,NORMAL,events.normal,1.0,458.37,452,53
scale-24-01,NORMAL,events.normal,0.98,410.9,450,53
scale-24-02,RETRY,events.human_review,0.67,375.1,448,54
scale-24-03,RETRY,events.retry,1.0,468.22,451,54
scale-24-04,HUMAN_REVIEW,events.human_review,1.0,415.89,449,57
scale-24-05,HUMAN_REVIEW,events.human_review,1.0,344.84,453,57
scale-24-06,QUARANTINE,events.quarantine,0.98,418.58,448,56
scale-24-07,QUARANTINE,events.quarantine,0.98,416.05,448,56
scale-00-00,NORMAL,events.normal,1.0,386.39,452,53
scale-00-01,NORMAL,events.normal,0.98,376.32,450,53
scale-00-02,RETRY,events.retry,0.74,450.39,448,54
scale-00-03,RETRY,events.retry,1.0,374.61,451,54
scale-00-04,HUMAN_REVIEW,events.human_review,1.0,433.36,449,57
scale-00-05,HUMAN_REVIEW,events.human_review,1.0,364.67,453,57
scale-00-06,QUARANTINE,events.quarantine,0.99,359.83,448,56
scale-00-07,QUARANTINE,events.quarantine,0.98,391.6,448,56
scale-01-00,NORMAL,events.normal,1.0,339.79,451,53
scale-01-01,NORMAL,events.normal,0.98,445.34,449,53
scale-01-02,RETRY,events.retry,0.71,356.41,447,54
scale-01-03,RETRY,events.retry,1.0,496.49,450,54
